Code,Treatment,Conditions_Explained
F1D20A1,Fecal_Ab_CD_B.caccae_D20,Fecal_inoculation_Antibiotic _Treatment_C.difficile_infection_B.caccae_Treatment
F1D20A2,Fecal_Ab_CD_B.caccae_D20,Fecal_inoculation_Antibiotic _Treatment_C.difficile_infection_B.caccae_Treatment
F1D20A3,Fecal_Ab_CD_B.caccae_D20,Fecal_inoculation_Antibiotic _Treatment_C.difficile_infection_B.caccae_Treatment
F1D20A4,Fecal_Ab_CD_B.caccae_D20,Fecal_inoculation_Antibiotic _Treatment_C.difficile_infection_B.caccae_Treatment
F1D20A5,Fecal_Ab_CD_B.caccae_D20,Fecal_inoculation_Antibiotic _Treatment_C.difficile_infection_B.caccae_Treatment
F1D20B1,Fecal_AB_CD_D20,Fecal_inoculation_Antibiotic _Treatment_C.difficile_infection
F1D20B2,Fecal_AB_CD_D20,Fecal_inoculation_Antibiotic _Treatment_C.difficile_infection
F1D20B3,Fecal_AB_CD_D20,Fecal_inoculation_Antibiotic _Treatment_C.difficile_infection
F1D20B4,Fecal_AB_CD_D20,Fecal_inoculation_Antibiotic _Treatment_C.difficile_infection
F1D20B5,Fecal_AB_CD_D20,Fecal_inoculation_Antibiotic _Treatment_C.difficile_infection
F1D20T1,Fecal_CD_D20,Fecal_inoculation_C.difficile_infection
F1D20T2,Fecal_CD_D20,Fecal_inoculation_C.difficile_infection
F1D20T3,Fecal_CD_D20,Fecal_inoculation_C.difficile_infection
F1D20T4,Fecal_CD_D20,Fecal_inoculation_C.difficile_infection
F2D20A1,Fecal_AB_CD_E.coli_D20,Fecal_inoculation_Antibiotic _Treatment_C.difficile_infection_E.coli_Treatment
F2D20A2,Fecal_AB_CD_E.coli_D20,Fecal_inoculation_Antibiotic _Treatment_C.difficile_infection_E.coli_Treatment
F2D20A3,Fecal_AB_CD_E.coli_D20,Fecal_inoculation_Antibiotic _Treatment_C.difficile_infection_E.coli_Treatment
F2D20A4,Fecal_AB_CD_E.coli_D20,Fecal_inoculation_Antibiotic _Treatment_C.difficile_infection_E.coli_Treatment
F2D20A5,Fecal_AB_CD_E.coli_D20,Fecal_inoculation_Antibiotic _Treatment_C.difficile_infection_E.coli_Treatment
F2D20B1,Fecal_AB_CD_B.uniformis_D20,Fecal_inoculation_Antibiotic _Treatment_C.difficile_infection_B.uniformis_Treatment
F2D20B2,Fecal_AB_CD_B.uniformis_D20,Fecal_inoculation_Antibiotic _Treatment_C.difficile_infection_B.uniformis_Treatment
F2D20B3,Fecal_AB_CD_B.uniformis_D20,Fecal_inoculation_Antibiotic _Treatment_C.difficile_infection_B.uniformis_Treatment
F2D20B4,Fecal_AB_CD_B.uniformis_D20,Fecal_inoculation_Antibiotic _Treatment_C.difficile_infection_B.uniformis_Treatment
F2D20B5,Fecal_AB_CD_B.uniformis_D20,Fecal_inoculation_Antibiotic _Treatment_C.difficile_infection_B.uniformis_Treatment
F2D20C1,Fecal_AB_CD_B.vulgatus_D20,Fecal_inoculation_Antibiotic _Treatment_C.difficile_infection_B.vulgatus_Treatment
F2D20C2,Fecal_AB_CD_B.vulgatus_D20,Fecal_inoculation_Antibiotic _Treatment_C.difficile_infection_B.vulgatus_Treatment
F2D20C3,Fecal_AB_CD_B.vulgatus_D20,Fecal_inoculation_Antibiotic _Treatment_C.difficile_infection_B.vulgatus_Treatment
F2D20C4,Fecal_AB_CD_B.vulgatus_D20,Fecal_inoculation_Antibiotic _Treatment_C.difficile_infection_B.vulgatus_Treatment
F2D20C5,Fecal_AB_CD_B.vulgatus_D20,Fecal_inoculation_Antibiotic _Treatment_C.difficile_infection_B.vulgatus_Treatment