Hour,Blautia obeum_1,Blautia obeum_2,Blautia obeum_3,Fusicatenibacter saccharivorans_1,Fusicatenibacter saccharivorans_2,Fusicatenibacter saccharivorans_3,Roseburia faecis_1,Roseburia faecis_2,Roseburia faecis_3,Bacteroides caccae_1,Bacteroides caccae_2,Bacteroides caccae_3,Bacteroides dorei_1,Bacteroides dorei_2,Bacteroides dorei_3,Bacteroides ovatus_1,Bacteroides ovatus_2,Bacteroides ovatus_3,Bacteroides thetaiotaomicron_1,Bacteroides thetaiotaomicron_2,Bacteroides thetaiotaomicron_3,Bacteroides uniformis_1,Bacteroides uniformis_2,Bacteroides uniformis_3,Parabacteroides distanis_1,Parabacteroides distanis_2,Parabacteroides distanis_3,Parabacteroides merdae_1,Parabacteroides merdae_2,Parabacteroides merdae_3,Bacteroides vulgatus_1,Bacteroides vulgatus_2,Bacteroides vulgatus_3,Bifidobacterium longum_1,Bifidobacterium longum_2,Bifidobacterium longum_3,Collinsella aerofaciens_1,Collinsella aerofaciens_2,Collinsella aerofaciens_3,Escherichia coli_1,Escherichia coli_2,Escherichia coli_3,Clostridium difficile R20291_1,Clostridium difficile R20291_2,Clostridium difficile R20291_3
0,0.016,0.012,0.024,0.009,0.01,0.008,0.021,0.017,0.023,0.007,0.012,0.01,0.004,0.003,0.003,0.011,0.01,0.012,0.018,0.017,0.021,0.011,0.009,0.013,0.008,0.012,0.01,0.008,0.015,0.013,0.009,0.009,0.006,0.016,0.023,0.018,0.01,0.008,0.01,0.006,0.007,0.014,0.005,0.009,0.006
2,0.005666667,0.005666667,0.017666667,0.009666667,0.004666667,0.001666667,0.012666667,0.009666667,0.013666667,0.008666667,0.018666667,0.010666667,-0.002333333,0.004666667,0.001666667,0.019666667,0.014666667,0.019666667,0.022666667,0.021666667,0.023666667,0.017666667,0.015666667,0.015666667,0.006666667,0.018666667,0.015666667,0.005666667,0.011666667,0.008666667,0.006666667,0.008666667,0.005666667,0.022666667,0.024666667,0.025666667,0.005666667,0.009666667,0.011666667,0.055666667,0.070666667,0.094666667,0.053666667,0.073666667,0.060666667
5,-0.017333333,-0.007333333,0.003666667,-0.009333333,-0.009333333,-0.009333333,-0.000333333,-0.003333333,0.003666667,0.010666667,0.026666667,0.013666667,-0.021333333,-0.008333333,-0.011333333,0.021666667,0.018666667,0.023666667,0.029666667,0.029666667,0.031666667,0.028666667,0.021666667,0.024666667,-0.001333333,0.019666667,0.016666667,-0.005333333,0.007666667,0.005666667,0.000666667,0.003666667,0.000666667,0.013666667,0.024666667,0.024666667,-0.015333333,-0.006333333,-0.001333333,0.510666667,0.496666667,0.494666667,0.469666667,0.485666667,0.487666667
7,-0.013333333,-0.011333333,0.000666667,-0.009333333,-0.008333333,-0.006333333,0.002666667,0.004666667,0.005666667,0.030666667,0.050666667,0.029666667,-0.013333333,-0.002333333,-0.005333333,0.051666667,0.047666667,0.068666667,0.069666667,0.070666667,0.071666667,0.059666667,0.048666667,0.049666667,0.027666667,0.051666667,0.044666667,0.004666667,0.037666667,0.025666667,0.006666667,0.011666667,0.006666667,0.015666667,0.022666667,0.017666667,-0.003333333,-0.000333333,0.003666667,0.673666667,0.670666667,0.665666667,0.663666667,0.661666667,0.668666667
12,-0.006,0.011,0.019,0.007,0.005,0.007,0.02,0.021,0.038,0.161,0.16,0.117,0.015,0.011,0.008,0.162,0.146,0.205,0.178,0.215,0.227,0.178,0.131,0.152,0.147,0.155,0.157,0.029,0.13,0.089,0.019,0.05,0.016,0.025,0.03,0.018,0.02,0.009,0.015,0.801,0.797,0.779,0.796,0.798,0.807
19,0.029,0.026,0.036,0.029,0.041,0.029,0.041,0.042,0.044,0.38,0.396,0.366,0.038,0.04,0.038,0.445,0.4,0.467,0.471,0.428,0.452,0.409,0.395,0.436,0.423,0.424,0.388,0.177,0.347,0.276,0.047,0.106,0.041,0.049,0.054,0.048,0.037,0.038,0.038,0.836,0.83,0.805,0.833,0.821,0.831
22,-0.043666667,-0.019666667,0.014333333,0.020333333,0.023333333,0.018333333,0.026333333,0.017333333,0.031333333,0.424333333,0.421333333,0.316333333,0.042333333,0.052333333,0.014333333,0.445333333,0.447333333,0.489333333,0.550333333,0.417333333,0.526333333,0.536333333,0.478333333,0.512333333,0.568333333,0.566333333,0.537333333,0.225333333,0.444333333,0.353333333,0.020333333,0.012333333,0.012333333,0.011333333,0.026333333,0.086333333,0.039333333,0.001333333,0.005333333,0.770333333,0.758333333,0.730333333,0.760333333,0.750333333,0.760333333
24,0.016666667,0.003666667,0.014666667,0.002666667,0.002666667,0.004666667,0.018666667,0.017666667,0.020666667,0.429666667,0.429666667,0.407666667,0.364666667,0.492666667,0.446666667,0.489666667,0.500666667,0.502666667,0.605666667,0.559666667,0.569666667,0.577666667,0.586666667,0.594666667,0.647666667,0.662666667,0.634666667,0.263666667,0.509666667,0.438666667,0.020666667,0.019666667,0.019666667,0.032666667,0.034666667,0.103666667,0.006666667,0.015666667,0.019666667,0.770666667,0.765666667,0.744666667,0.758666667,0.759666667,0.769666667
26,0.006666667,0.001666667,0.010666667,0.001666667,0.001666667,0.002666667,0.018666667,0.016666667,0.020666667,0.439666667,0.433666667,0.416666667,0.400666667,0.520666667,0.478666667,0.473666667,0.483666667,0.472666667,0.665666667,0.579666667,0.611666667,0.616666667,0.626666667,0.616666667,0.686666667,0.694666667,0.678666667,0.535666667,0.569666667,0.514666667,0.019666667,0.019666667,0.019666667,0.029666667,0.034666667,0.040666667,0.006666667,0.017666667,0.023666667,0.794666667,0.766666667,0.741666667,0.747666667,0.764666667,0.767666667
28,0.011,0.006,0.013,0.005,0.005,0.005,0.022,0.02,0.024,0.453,0.447,0.498,0.505,0.532,0.524,0.464,0.485,0.476,0.714,0.643,0.648,0.638,0.655,0.621,0.713,0.715,0.712,0.71,0.647,0.591,0.026,0.021,0.021,0.025,0.036,0.026,0.002,0.022,0.022,0.788,0.789,0.739,0.745,0.744,0.763
30,-0.027666667,0.014333333,0.018333333,0.020333333,0.020333333,0.022333333,0.027333333,0.023333333,0.005333333,0.395333333,0.389333333,0.373333333,0.446333333,0.529333333,0.511333333,0.466333333,0.500333333,0.421333333,1.109333333,1.072333333,0.980333333,0.600333333,0.623333333,0.578333333,0.732333333,0.712333333,0.736333333,0.687333333,0.619333333,0.584333333,-0.018666667,-0.019666667,-0.019666667,-0.016666667,-0.005666667,-0.017666667,0.004333333,0.029333333,0.022333333,0.793333333,0.782333333,0.854333333,0.716333333,0.697333333,0.822333333
33,-0.024333333,-0.004333333,-0.007333333,-0.010333333,-0.010333333,-0.006333333,0.002666667,0.001666667,-0.012333333,0.393666667,0.382666667,0.370666667,0.449666667,0.532666667,0.506666667,0.413666667,0.422666667,0.426666667,1.158666667,1.099666667,1.028666667,0.601666667,0.620666667,0.545666667,0.715666667,0.697666667,0.723666667,0.651666667,0.638666667,0.608666667,-0.020333333,-0.025333333,-0.025333333,-0.022333333,-0.008333333,-0.027333333,0.001666667,0.025666667,0.017666667,0.779666667,0.791666667,0.836666667,0.706666667,0.681666667,0.790666667
37,-0.020333333,0.031666667,0.032666667,0.037666667,0.037666667,0.040666667,0.046666667,0.040666667,0.014666667,0.372666667,0.367666667,0.348666667,0.479666667,0.530666667,0.515666667,0.397666667,0.410666667,0.411666667,1.175666667,1.110666667,1.183666667,0.570666667,0.586666667,0.516666667,0.727666667,0.708666667,0.749666667,0.648666667,0.601666667,0.607666667,-0.018333333,-0.020333333,-0.021333333,-0.016333333,0.000666667,-0.016333333,0.032666667,0.059666667,0.043666667,0.805666667,0.781666667,0.868666667,0.720666667,0.704666667,0.828666667
45,-0.004666667,0.029333333,0.020333333,0.023333333,0.023333333,0.023333333,0.035333333,0.037333333,0.024333333,0.416333333,0.412333333,0.368333333,0.494333333,0.530333333,0.518333333,0.435333333,0.448333333,0.452333333,1.116333333,1.009333333,1.070333333,0.527333333,0.522333333,0.443333333,0.633333333,0.628333333,0.702333333,0.520333333,0.550333333,0.564333333,0.029333333,0.032333333,0.030333333,0.205333333,0.273333333,0.171333333,0.015333333,0.048333333,0.048333333,0.856333333,0.755333333,0.921333333,0.708333333,0.716333333,0.947333333
48,0.003666667,0.037666667,0.028666667,0.031666667,0.031666667,0.031666667,0.043666667,0.045666667,0.032666667,0.424666667,0.420666667,0.376666667,0.502666667,0.538666667,0.526666667,0.443666667,0.456666667,0.460666667,1.124666667,1.017666667,1.078666667,0.535666667,0.530666667,0.451666667,0.641666667,0.636666667,0.710666667,0.636666667,0.558666667,0.572666667,0.037666667,0.038666667,0.038666667,0.213666667,0.281666667,0.179666667,0.023666667,0.056666667,0.056666667,0.864666667,0.763666667,0.929666667,0.716666667,0.724666667,0.955666667
53,0.004,0.059,0.037,0.037,0.037,0.035,0.046,0.047,0.034,0.404,0.405,0.378,0.515,0.541,0.53,0.443,0.45,0.453,1.12,0.983,1.081,0.494,0.496,0.437,0.637,0.635,0.707,0.605,0.52,0.525,0.023,0.026,0.022,0.289,0.321,0.239,0.023,0.055,0.056,0.906,0.758,0.893,0.725,0.735,0.967
60,0.003,0.062,0.035,0.04,0.04,0.037,0.047,0.047,0.036,0.416,0.407,0.377,0.554,0.575,0.562,0.452,0.462,0.462,1.14,0.975,1.068,0.466,0.466,0.431,0.676,0.649,0.703,0.52,0.478,0.478,0.034,0.034,0.034,0.348,0.326,0.258,0.078,0.098,0.082,0.934,0.788,0.884,0.81,0.766,1.027
69,0.004,0.057,0.032,0.04,0.04,0.037,0.06,0.055,0.048,0.42,0.391,0.364,0.538,0.62,0.631,0.48,0.487,0.493,1.14,0.959,1.076,0.443,0.431,0.411,0.687,0.663,0.727,0.435,0.448,0.446,0.081,0.095,0.095,0.343,0.324,0.252,0.081,0.104,0.095,1.012,0.79,0.987,0.851,0.857,1.095
71,0.005,0.072,0.058,0.067,0.067,0.068,0.079,0.077,0.071,0.398,0.383,0.318,0.557,0.611,0.606,0.485,0.483,0.491,1.174,0.975,1.095,0.446,0.435,0.421,0.688,0.663,0.728,0.42,0.431,0.418,0.098,0.121,0.121,0.338,0.314,0.256,0.103,0.128,0.113,1.026,0.833,1.035,0.881,0.892,1.137
84,0,0.074,0.054,0.061,0.061,0.061,0.069,0.069,0.061,0.392,0.374,0.285,0.583,0.627,0.694,0.558,0.562,0.572,1.16,0.951,1.096,0.487,0.483,0.468,0.683,0.659,0.777,0.437,0.464,0.456,0.409,0.423,0.409,0.371,0.342,0.267,0.083,0.111,0.107,1.032,0.805,1.027,0.878,0.981,1.3
96,-0.003,0.066,0.013,0.018,0.018,0.019,0.033,0.034,0.032,0.37,0.36,0.331,0.537,0.591,0.669,0.577,0.581,0.587,1.124,0.931,1.076,0.546,0.54,0.527,0.691,0.669,0.839,0.449,0.502,0.487,0.416,0.454,0.405,0.369,0.347,0.256,0.028,0.059,0.076,1.032,0.802,0.993,0.978,1.118,1.357