"pathway","total_hit_count","Description","SRR_Number"
"vitamin B3 pathway",97918,"FMT","ERR2198625"
"vitamin B3 pathway",302072,"FMT","ERR2198626"
"vitamin B3 pathway",339657,"FMT","ERR2198627"
"vitamin B3 pathway",424651,"FMT","ERR2198628"
"vitamin B3 pathway",421603,"FMT","ERR2198629"
"vitamin B3 pathway",30127,"FMT","ERR2198630"
"vitamin B3 pathway",251980,"FMT","ERR2198631"
"vitamin B3 pathway",408531,"FMT","ERR2198632"
"vitamin B3 pathway",160390,"FMT","ERR2198633"
"vitamin B3 pathway",307334,"FMT","ERR2198634"
"vitamin B3 pathway",293234,"Healthy","ERR2198636"
"vitamin B3 pathway",317517,"Healthy","ERR2198637"
"vitamin B3 pathway",299808,"Healthy","ERR2198638"
"vitamin B3 pathway",311137,"Healthy","ERR2198639"
"vitamin B3 pathway",392143,"Healthy","ERR2198640"
"vitamin B3 pathway",410173,"Healthy","ERR2198641"
"vitamin B3 pathway",231939,"Healthy","ERR2198642"
"vitamin B3 pathway",264634,"Healthy","ERR2198643"
"vitamin B3 pathway",229988,"Healthy","ERR2198644"
"vitamin B3 pathway",256961,"Healthy","ERR2198645"
"vitamin B3 pathway",188116,"Healthy","ERR2198647"
"vitamin B3 pathway",128821,"Healthy","ERR2198648"
"vitamin B3 pathway",168456,"Healthy","ERR2198649"
"vitamin B3 pathway",87215,"FMT","ERR2198650"
"vitamin B3 pathway",251861,"FMT","ERR2198651"
"vitamin B3 pathway",59242,"FMT","ERR2198652"
"vitamin B3 pathway",308311,"FMT","ERR2198653"
"vitamin B3 pathway",285420,"FMT","ERR2198654"
"vitamin B3 pathway",283542,"FMT","ERR2198655"
"vitamin B3 pathway",146478,"FMT","ERR2198656"
"vitamin B3 pathway",91218,"FMT","ERR2198657"
"vitamin B3 pathway",119443,"FMT","ERR2198658"
"vitamin B3 pathway",57899,"FMT","ERR2198659"
"vitamin B3 pathway",263423,"FMT","ERR2198660"
"vitamin B3 pathway",328855,"FMT","ERR2198661"
"vitamin B3 pathway",181020,"FMT","ERR2198662"
"vitamin B3 pathway",245071,"FMT","ERR2198663"
"vitamin B3 pathway",358227,"FMT","ERR2198664"
"vitamin B3 pathway",338677,"FMT","ERR2198665"
"vitamin B3 pathway",69221,"FMT","ERR2198666"
"vitamin B3 pathway",75106,"FMT","ERR2198667"
"vitamin B3 pathway",241238,"FMT","ERR2198668"
"vitamin B3 pathway",303552,"FMT","ERR2198669"
"vitamin B3 pathway",339936,"FMT","ERR2198670"
"vitamin B3 pathway",18763,"FMT","ERR2198671"
"vitamin B3 pathway",20700,"FMT","ERR2198672"
"vitamin B3 pathway",307236,"FMT","ERR2198673"
"vitamin B3 pathway",373592,"FMT","ERR2198674"
"vitamin B3 pathway",131579,"FMT","ERR2198675"
"vitamin B3 pathway",199410,"FMT","ERR2198676"
"vitamin B3 pathway",60457,"FMT","ERR2198677"
"vitamin B3 pathway",141241,"FMT","ERR2198678"
"vitamin B3 pathway",211059,"FMT","ERR2198679"
"vitamin B3 pathway",209907,"FMT","ERR2198680"
"vitamin B3 pathway",14234,"FMT","ERR2198681"
"vitamin B3 pathway",24577,"FMT","ERR2198682"
"vitamin B3 pathway",91863,"FMT","ERR2198683"
"vitamin B3 pathway",40415,"FMT","ERR2198684"
"vitamin B3 pathway",202214,"FMT","ERR2198685"
"vitamin B3 pathway",191063,"FMT","ERR2198686"
"vitamin B3 pathway",241134,"FMT","ERR2198687"
"vitamin B3 pathway",203541,"FMT","ERR2198688"
"vitamin B3 pathway",45499,"FMT","ERR2198689"
"vitamin B3 pathway",43321,"FMT","ERR2198690"
"vitamin B3 pathway",112456,"FMT","ERR2198691"
"vitamin B3 pathway",275514,"FMT","ERR2198692"
"vitamin B3 pathway",52948,"FMT","ERR2198693"
"vitamin B3 pathway",167594,"FMT","ERR2198694"
"vitamin B3 pathway",3639,"FMT","ERR2198695"
"vitamin B3 pathway",79205,"FMT","ERR2198696"
"vitamin B3 pathway",126093,"FMT","ERR2198697"
"vitamin B3 pathway",72297,"FMT","ERR2198698"
"vitamin B3 pathway",395173,"FMT","ERR2198699"
"vitamin B3 pathway",360500,"FMT","ERR2198700"
"vitamin B3 pathway",345012,"FMT","ERR2198701"
"vitamin B3 pathway",85860,"FMT","ERR2198702"
"vitamin B3 pathway",165713,"FMT","ERR2198703"
"vitamin B3 pathway",350176,"FMT","ERR2198704"
"vitamin B3 pathway",348062,"FMT","ERR2198705"
"vitamin B3 pathway",104197,"FMT","ERR2198707"
"vitamin B3 pathway",165079,"FMT","ERR2198708"
"vitamin B3 pathway",55237,"FMT","ERR2198709"
"vitamin B3 pathway",123183,"FMT","ERR2198710"
"vitamin B3 pathway",117308,"FMT","ERR2198711"
"vitamin B3 pathway",137855,"FMT","ERR2198712"
"vitamin B3 pathway",94818,"FMT","ERR2198713"
"vitamin B3 pathway",71474,"FMT","ERR2198714"
"vitamin B3 pathway",137237,"FMT","ERR2198715"
"vitamin B3 pathway",23429,"FMT","ERR2198716"
"vitamin B3 pathway",52642,"FMT","ERR2198717"
"vitamin B3 pathway",101029,"FMT","ERR2198720"
"vitamin B3 pathway",288630,"Healthy","ERR3607252"
"vitamin B3 pathway",168020,"Healthy","ERR3607253"
"vitamin B3 pathway",449332,"Healthy","ERR3607254"
"vitamin B3 pathway",297556,"Healthy","ERR3607255"
"vitamin B3 pathway",501685,"Healthy","ERR3607256"
"vitamin B3 pathway",388464,"Healthy","ERR3607257"
"vitamin B3 pathway",471645,"Healthy","ERR3607258"
"vitamin B3 pathway",230970,"Healthy","ERR3607259"
"vitamin B3 pathway",413779,"Healthy","ERR3607260"
"vitamin B3 pathway",408587,"Healthy","ERR3607261"
"vitamin B3 pathway",339273,"Healthy","ERR3607262"
"vitamin B3 pathway",193415,"Healthy","ERR3607263"
"vitamin B3 pathway",407569,"Healthy","ERR3607264"
"vitamin B3 pathway",347845,"Healthy","ERR3607265"
"vitamin B3 pathway",386198,"Healthy","ERR3607266"
"vitamin B3 pathway",380256,"Healthy","ERR3607267"
"vitamin B3 pathway",434366,"Healthy","ERR3607268"
"vitamin B3 pathway",298133,"Healthy","ERR3607269"
"vitamin B3 pathway",289015,"Healthy","ERR3607270"
"vitamin B3 pathway",172415,"Healthy","ERR3607271"
"vitamin B3 pathway",236618,"Healthy","ERR3607272"
"vitamin B3 pathway",288167,"Healthy","ERR3607273"
"vitamin B3 pathway",348372,"Healthy","ERR3607274"
"vitamin B3 pathway",253964,"Healthy","ERR3607275"
"vitamin B3 pathway",336009,"Healthy","ERR3607276"
"vitamin B3 pathway",366987,"Healthy","ERR3607277"
"vitamin B3 pathway",258642,"Healthy","ERR3607278"
"vitamin B3 pathway",449952,"Healthy","ERR3607279"
"vitamin B3 pathway",404517,"Healthy","ERR3607280"
"vitamin B3 pathway",228329,"Healthy","ERR3607281"
"vitamin B3 pathway",335351,"Healthy","ERR3607282"
"vitamin B3 pathway",500968,"Healthy","ERR3607283"
"vitamin B3 pathway",402710,"Healthy","ERR3607284"
"vitamin B3 pathway",274844,"Healthy","ERR3607285"
"vitamin B3 pathway",251288,"Healthy","ERR3607286"
"vitamin B3 pathway",452337,"Healthy","ERR3607287"
"vitamin B3 pathway",292869,"Healthy","ERR3607288"
"vitamin B3 pathway",178806,"Healthy","ERR3607289"
"vitamin B3 pathway",231581,"Healthy","ERR3607290"
"vitamin B3 pathway",141310,"Healthy","ERR3607292"
"vitamin B3 pathway",269694,"Healthy","ERR3607293"
"vitamin B3 pathway",184928,"Healthy","ERR3607294"
"vitamin B3 pathway",398992,"Healthy","ERR3607295"
"vitamin B3 pathway",388746,"Healthy","ERR3607296"
"vitamin B3 pathway",300686,"Healthy","ERR3607297"
"vitamin B3 pathway",392745,"Healthy","ERR3607298"
"vitamin B3 pathway",466707,"Healthy","ERR3607299"
"vitamin B3 pathway",407019,"Healthy","ERR3607300"
"vitamin B3 pathway",349102,"Healthy","ERR3607301"
"vitamin B3 pathway",212793,"Healthy","ERR3607302"
"vitamin B3 pathway",146270,"Healthy","ERR3607303"
"vitamin B3 pathway",301806,"Healthy","ERR3607304"
"vitamin B3 pathway",321684,"Healthy","ERR3607305"
"vitamin B3 pathway",374666,"Healthy","ERR3607306"
"vitamin B3 pathway",290346,"Healthy","ERR3607307"
"vitamin B3 pathway",353592,"Healthy","ERR3607308"
"vitamin B3 pathway",413081,"Healthy","ERR3607309"
"vitamin B3 pathway",302550,"Healthy","ERR3607310"
"vitamin B3 pathway",308447,"Healthy","ERR3607311"
"vitamin B3 pathway",230743,"Healthy","ERR3607312"
"vitamin B3 pathway",94263,"CDI","ERR3722005"
"vitamin B3 pathway",91404,"CDI","ERR3722006"
"vitamin B3 pathway",156023,"CDI","ERR3722007"
"vitamin B3 pathway",143107,"CDI","ERR3722008"
"vitamin B3 pathway",86419,"CDI","ERR3722009"
"vitamin B3 pathway",328852,"CDI","ERR3722010"
"vitamin B3 pathway",31469,"CDI","ERR3722011"
"vitamin B3 pathway",57246,"CDI","ERR3722012"
"vitamin B3 pathway",277752,"CDI","ERR3722013"
"vitamin B3 pathway",87248,"CDI","ERR3722014"
"vitamin B3 pathway",140299,"CDI","ERR3722015"
"vitamin B3 pathway",158490,"CDI","ERR3722016"
"vitamin B3 pathway",72701,"CDI","ERR3722017"
"vitamin B3 pathway",102849,"CDI","ERR3722018"
"vitamin B3 pathway",98756,"CDI","ERR3722019"
"vitamin B3 pathway",140521,"CDI","ERR3722020"
"vitamin B3 pathway",43954,"CDI","ERR3722021"
"vitamin B3 pathway",85079,"CDI","ERR3722022"
"vitamin B3 pathway",81515,"CDI","ERR3722023"
"vitamin B3 pathway",65975,"CDI","ERR3722024"
"vitamin B3 pathway",88628,"CDI","ERR3722025"
"vitamin B3 pathway",205353,"CDI","ERR3722026"
"vitamin B3 pathway",163445,"CDI","ERR3722027"
"vitamin B3 pathway",111981,"CDI","ERR3722028"
"vitamin B3 pathway",115958,"CDI","ERR3722029"
"vitamin B3 pathway",17950,"CDI","ERR3722030"
"vitamin B3 pathway",205113,"Healthy","ERR4290678"
"vitamin B3 pathway",137170,"FMT","ERR4290679"
"vitamin B3 pathway",162930,"Healthy","ERR4290680"
"vitamin B3 pathway",389805,"Healthy","ERR4290681"
"vitamin B3 pathway",84850,"CDI","ERR4290682"
"vitamin B3 pathway",95070,"CDI","ERR4290683"
"vitamin B3 pathway",94760,"FMT","ERR4290684"
"vitamin B3 pathway",92935,"CDI","ERR4290868"
"vitamin B3 pathway",227755,"FMT","ERR4290869"
"vitamin B3 pathway",110942,"FMT","ERR4291114"
"vitamin B3 pathway",74700,"CDI","ERR4291146"
"vitamin B3 pathway",175451,"Healthy","ERR4291147"
"vitamin B3 pathway",165335,"FMT","ERR4291148"
"vitamin B3 pathway",180138,"FMT","ERR4291154"
"vitamin B3 pathway",66229,"CDI","ERR4291155"
"vitamin B3 pathway",179322,"FMT","ERR4291161"
"vitamin B3 pathway",136945,"FMT","ERR4291162"
"vitamin B3 pathway",125865,"Healthy","ERR4291163"
"vitamin B3 pathway",291525,"Healthy","ERR4291164"
"vitamin B3 pathway",165512,"CDI","ERR4291165"
"vitamin B3 pathway",62519,"CDI","ERR4291166"
"vitamin B3 pathway",50508,"CDI","ERR4291167"
"vitamin B3 pathway",177476,"FMT","ERR4291168"
"vitamin B3 pathway",269863,"Healthy","ERR4291171"
"vitamin B3 pathway",171517,"FMT","ERR4291172"
"vitamin B3 pathway",132382,"Healthy","ERR4291953"
"vitamin B3 pathway",186203,"FMT","ERR4291954"
"vitamin B3 pathway",54899,"CDI","SRR10084755"
"vitamin B3 pathway",64727,"CDI","SRR10084756"
"vitamin B3 pathway",156638,"CDI","SRR10084757"
"vitamin B3 pathway",152125,"CDI","SRR10084758"
"vitamin B3 pathway",117382,"CDI","SRR10084759"
"vitamin B3 pathway",192212,"Healthy","SRR10084760"
"vitamin B3 pathway",90890,"Healthy","SRR10084761"
"vitamin B3 pathway",187353,"Healthy","SRR10084762"
"vitamin B3 pathway",5628,"Healthy","SRR10084763"
"vitamin B3 pathway",58908,"Healthy","SRR10084764"
"vitamin B3 pathway",227828,"Healthy","SRR10084765"
"vitamin B3 pathway",102381,"Healthy","SRR10084766"
"vitamin B3 pathway",35464,"Healthy","SRR10084767"
"vitamin B3 pathway",25892,"Healthy","SRR10084768"
"vitamin B3 pathway",107058,"Healthy","SRR10084769"
"vitamin B3 pathway",239608,"Healthy","SRR10084770"
"vitamin B3 pathway",243993,"Healthy","SRR10084771"
"vitamin B3 pathway",496,"Diarrhoea","SRR10084772"
"vitamin B3 pathway",124073,"Diarrhoea","SRR10084773"
"vitamin B3 pathway",170810,"CDI","SRR10084774"
"vitamin B3 pathway",223066,"Diarrhoea","SRR10084775"
"vitamin B3 pathway",85342,"Healthy","SRR10084776"
"vitamin B3 pathway",267438,"Diarrhoea","SRR10084777"
"vitamin B3 pathway",178116,"Diarrhoea","SRR10084778"
"vitamin B3 pathway",4473,"Diarrhoea","SRR10084779"
"vitamin B3 pathway",17130,"CDI","SRR10084780"
"vitamin B3 pathway",4432,"Diarrhoea","SRR10084781"
"vitamin B3 pathway",373,"Diarrhoea","SRR10084782"
"vitamin B3 pathway",65702,"Diarrhoea","SRR10084783"
"vitamin B3 pathway",80781,"Diarrhoea","SRR10084784"
"vitamin B3 pathway",52347,"Diarrhoea","SRR10084785"
"vitamin B3 pathway",44737,"Diarrhoea","SRR10084786"
"vitamin B3 pathway",186891,"Healthy","SRR10084787"
"vitamin B3 pathway",75102,"Diarrhoea","SRR10084788"
"vitamin B3 pathway",215837,"Diarrhoea","SRR10084789"
"vitamin B3 pathway",110928,"Diarrhoea","SRR10084790"
"vitamin B3 pathway",122079,"CDI","SRR10084791"
"vitamin B3 pathway",112495,"Diarrhoea","SRR10084792"
"vitamin B3 pathway",11205,"Diarrhoea","SRR10084793"
"vitamin B3 pathway",107258,"Diarrhoea","SRR10084794"
"vitamin B3 pathway",33133,"Diarrhoea","SRR10084795"
"vitamin B3 pathway",78974,"Diarrhoea","SRR10084796"
"vitamin B3 pathway",142032,"Diarrhoea","SRR10084797"
"vitamin B3 pathway",131784,"Healthy","SRR10084798"
"vitamin B3 pathway",67928,"CDI","SRR10084799"
"vitamin B3 pathway",87776,"CDI","SRR10084800"
"vitamin B3 pathway",187702,"CDI","SRR10084801"
"vitamin B3 pathway",62546,"CDI","SRR10084802"
"vitamin B3 pathway",72548,"CDI","SRR10084803"
"vitamin B3 pathway",105532,"CDI","SRR10084804"
"vitamin B3 pathway",43960,"CDI","SRR10084805"
"vitamin B3 pathway",18637,"CDI","SRR10084806"
"vitamin B3 pathway",144454,"CDI","SRR10084807"
"vitamin B3 pathway",78771,"CDI","SRR10084808"
"vitamin B3 pathway",64016,"Healthy","SRR10084809"
"vitamin B3 pathway",165717,"CDI","SRR10084810"
"vitamin B3 pathway",187597,"CDI","SRR10084811"
"vitamin B3 pathway",65157,"CDI","SRR10084812"
"vitamin B3 pathway",86775,"CDI","SRR10084813"
